Iteration,E,nu,RMSE
219,0.00063375,0.22675,4.32E-08
220,0.00063375,0.2365,4.32E-08
221,0.00063375,0.24625,4.31E-08
222,0.00063375,0.256,4.30E-08
223,0.00063375,0.26575,4.29E-08
224,0.00063375,0.2755,4.29E-08
225,0.00063375,0.28525,4.28E-08
226,0.00063375,0.295,4.27E-08
227,0.00063375,0.30475,4.26E-08
228,0.00063375,0.3145,4.25E-08
229,0.00063375,0.32425,4.24E-08
230,0.00063375,0.334,4.23E-08
231,0.00063375,0.34375,4.23E-08
232,0.00063375,0.3535,4.22E-08
233,0.00063375,0.36325,4.21E-08
234,0.00063375,0.373,4.20E-08
235,0.00063375,0.38275,4.19E-08
236,0.00063375,0.3925,4.18E-08
237,0.00063375,0.40225,4.17E-08
238,0.00063375,0.412,4.16E-08
239,0.00063375,0.42175,4.16E-08
240,0.00063375,0.4315,4.15E-08
241,0.00063375,0.44125,4.14E-08
242,0.00063375,0.451,4.13E-08
243,0.00063375,0.46075,4.12E-08
244,0.00063375,0.4705,4.11E-08
245,0.00063375,0.48025,4.10E-08
246,0.00063375,0.49,4.10E-08
247,0.0007585,0.1,4.17E-08
248,0.0007585,0.10975,4.16E-08
249,0.0007585,0.1195,4.16E-08
250,0.0007585,0.12925,4.15E-08
251,0.0007585,0.139,4.14E-08
252,0.0007585,0.14875,4.14E-08
253,0.0007585,0.1585,4.13E-08
254,0.0007585,0.16825,4.12E-08
255,0.0007585,0.178,4.11E-08
256,0.0007585,0.18775,4.10E-08
257,0.0007585,0.1975,4.10E-08
258,0.0007585,0.20725,4.09E-08
259,0.0007585,0.217,4.08E-08
260,0.0007585,0.22675,4.07E-08
261,0.0007585,0.2365,4.06E-08
262,0.0007585,0.24625,4.05E-08
263,0.0007585,0.256,4.04E-08
264,0.0007585,0.26575,4.03E-08
265,0.0007585,0.2755,4.02E-08
266,0.0007585,0.28525,4.01E-08
267,0.0007585,0.295,4.00E-08
268,0.0007585,0.30475,3.99E-08
269,0.0007585,0.3145,3.98E-08
270,0.0007585,0.32425,3.97E-08
271,0.0007585,0.334,3.96E-08
272,0.0007585,0.34375,3.95E-08
273,0.0007585,0.3535,3.94E-08
274,0.0007585,0.36325,3.93E-08
275,0.0007585,0.373,3.92E-08
276,0.0007585,0.38275,3.91E-08
277,0.0007585,0.3925,3.90E-08
278,0.0007585,0.40225,3.89E-08
279,0.0007585,0.412,3.88E-08
280,0.0007585,0.42175,3.87E-08
281,0.0007585,0.4315,3.86E-08
282,0.0007585,0.44125,3.85E-08
283,0.0007585,0.451,3.84E-08
284,0.0007585,0.46075,3.83E-08
285,0.0007585,0.4705,3.82E-08
286,0.0007585,0.48025,3.81E-08
287,0.0007585,0.49,3.80E-08
288,0.00088325,0.1,3.93E-08
289,0.00088325,0.10975,3.92E-08
290,0.00088325,0.1195,3.92E-08
291,0.00088325,0.12925,3.91E-08
292,0.00088325,0.139,3.90E-08
293,0.00088325,0.14875,3.89E-08
294,0.00088325,0.1585,3.88E-08
295,0.00088325,0.16825,3.87E-08
296,0.00088325,0.178,3.86E-08
297,0.00088325,0.18775,3.85E-08
298,0.00088325,0.1975,3.84E-08
299,0.00088325,0.20725,3.83E-08
300,0.00088325,0.217,3.82E-08
301,0.00088325,0.22675,3.81E-08
302,0.00088325,0.2365,3.80E-08
303,0.00088325,0.24625,3.79E-08
304,0.00088325,0.256,3.78E-08
305,0.00088325,0.26575,3.77E-08
306,0.00088325,0.2755,3.76E-08
307,0.00088325,0.28525,3.75E-08
308,0.00088325,0.295,3.74E-08
309,0.00088325,0.30475,3.73E-08
310,0.00088325,0.3145,3.71E-08
311,0.00088325,0.32425,3.70E-08
312,0.00088325,0.334,3.69E-08
313,0.00088325,0.34375,3.68E-08
314,0.00088325,0.3535,3.67E-08
315,0.00088325,0.36325,3.65E-08
316,0.00088325,0.373,3.64E-08
317,0.00088325,0.38275,3.63E-08
318,0.00088325,0.3925,3.62E-08
319,0.00088325,0.40225,3.60E-08
320,0.00088325,0.412,3.59E-08
321,0.00088325,0.42175,3.58E-08
322,0.00088325,0.4315,3.57E-08
323,0.00088325,0.44125,3.55E-08
324,0.00088325,0.451,3.54E-08
325,0.00088325,0.46075,3.53E-08
326,0.00088325,0.4705,3.52E-08
327,0.00088325,0.48025,3.51E-08
328,0.00088325,0.49,3.50E-08
329,0.001008,0.1,3.69E-08
330,0.001008,0.10975,3.69E-08
331,0.001008,0.1195,3.68E-08
332,0.001008,0.12925,3.67E-08
333,0.001008,0.139,3.66E-08
334,0.001008,0.14875,3.65E-08
335,0.001008,0.1585,3.64E-08
336,0.001008,0.16825,3.63E-08
337,0.001008,0.178,3.62E-08
338,0.001008,0.18775,3.61E-08
339,0.001008,0.1975,3.59E-08
340,0.001008,0.20725,3.58E-08
341,0.001008,0.217,3.57E-08
342,0.001008,0.22675,3.56E-08
343,0.001008,0.2365,3.55E-08
344,0.001008,0.24625,3.54E-08
345,0.001008,0.256,3.52E-08
346,0.001008,0.26575,3.51E-08
347,0.001008,0.2755,3.50E-08
348,0.001008,0.28525,3.48E-08
349,0.001008,0.295,3.47E-08
350,0.001008,0.30475,3.46E-08
351,0.001008,0.3145,3.44E-08
352,0.001008,0.32425,3.43E-08
353,0.001008,0.334,3.42E-08
354,0.001008,0.34375,3.40E-08
355,0.001008,0.3535,3.39E-08
356,0.001008,0.36325,3.38E-08
357,0.001008,0.373,3.36E-08
358,0.001008,0.38275,3.35E-08
359,0.001008,0.3925,3.33E-08
360,0.001008,0.40225,3.32E-08
361,0.001008,0.412,3.31E-08
362,0.001008,0.42175,3.29E-08
363,0.001008,0.4315,3.28E-08
364,0.001008,0.44125,3.26E-08
365,0.001008,0.451,3.25E-08
366,0.001008,0.46075,3.24E-08
367,0.001008,0.4705,3.22E-08
368,0.001008,0.48025,3.21E-08
369,0.001008,0.49,3.20E-08
370,0.00113275,0.1,3.46E-08
371,0.00113275,0.10975,3.45E-08
372,0.00113275,0.1195,3.44E-08
373,0.00113275,0.12925,3.43E-08
374,0.00113275,0.139,3.41E-08
375,0.00113275,0.14875,3.40E-08
376,0.00113275,0.1585,3.39E-08
377,0.00113275,0.16825,3.38E-08
378,0.00113275,0.178,3.37E-08
379,0.00113275,0.18775,3.36E-08
380,0.00113275,0.1975,3.34E-08
381,0.00113275,0.20725,3.33E-08
382,0.00113275,0.217,3.32E-08
383,0.00113275,0.22675,3.30E-08
384,0.00113275,0.2365,3.29E-08
385,0.00113275,0.24625,3.28E-08
386,0.00113275,0.256,3.26E-08
387,0.00113275,0.26575,3.25E-08
388,0.00113275,0.2755,3.24E-08
389,0.00113275,0.28525,3.22E-08
390,0.00113275,0.295,3.21E-08
391,0.00113275,0.30475,3.19E-08
392,0.00113275,0.3145,3.18E-08
393,0.00113275,0.32425,3.16E-08
394,0.00113275,0.334,3.14E-08
395,0.00113275,0.34375,3.13E-08
396,0.00113275,0.3535,3.11E-08
397,0.00113275,0.36325,3.10E-08
398,0.00113275,0.373,3.08E-08
399,0.00113275,0.38275,3.07E-08
400,0.00113275,0.3925,3.05E-08
401,0.00113275,0.40225,3.04E-08
402,0.00113275,0.412,3.02E-08
403,0.00113275,0.42175,3.00E-08
404,0.00113275,0.4315,2.99E-08
405,0.00113275,0.44125,2.97E-08
406,0.00113275,0.451,2.96E-08
407,0.00113275,0.46075,2.94E-08
408,0.00113275,0.4705,2.93E-08
409,0.00113275,0.48025,2.91E-08
410,0.00113275,0.49,2.90E-08
411,0.0012575,0.1,3.22E-08
412,0.0012575,0.10975,3.21E-08
413,0.0012575,0.1195,3.20E-08
414,0.0012575,0.12925,3.18E-08
415,0.0012575,0.139,3.17E-08
416,0.0012575,0.14875,3.16E-08
417,0.0012575,0.1585,3.15E-08
418,0.0012575,0.16825,3.13E-08
419,0.0012575,0.178,3.12E-08
420,0.0012575,0.18775,3.11E-08
421,0.0012575,0.1975,3.09E-08
422,0.0012575,0.20725,3.08E-08
423,0.0012575,0.217,3.06E-08
424,0.0012575,0.22675,3.05E-08
425,0.0012575,0.2365,3.04E-08
426,0.0012575,0.24625,3.02E-08
427,0.0012575,0.256,3.00E-08
428,0.0012575,0.26575,2.99E-08
429,0.0012575,0.2755,2.97E-08
430,0.0012575,0.28525,2.96E-08
431,0.0012575,0.295,2.94E-08
