Iteration,E,nu,RMSE
632,1881.25,0.256,1.71E-08
633,1881.25,0.26575,1.69E-08
634,1881.25,0.2755,1.66E-08
635,1881.25,0.28525,1.64E-08
636,1881.25,0.295,1.61E-08
637,1881.25,0.30475,1.59E-08
638,1881.25,0.3145,1.56E-08
639,1881.25,0.32425,1.54E-08
640,1881.25,0.334,1.51E-08
641,1881.25,0.34375,1.49E-08
642,1881.25,0.3535,1.46E-08
643,1881.25,0.36325,1.44E-08
644,1881.25,0.373,1.41E-08
645,1881.25,0.38275,1.38E-08
646,1881.25,0.3925,1.36E-08
647,1881.25,0.40225,1.33E-08
648,1881.25,0.412,1.30E-08
649,1881.25,0.42175,1.28E-08
650,1881.25,0.4315,1.25E-08
651,1881.25,0.44125,1.23E-08
652,1881.25,0.451,1.20E-08
653,1881.25,0.46075,1.17E-08
654,1881.25,0.4705,1.15E-08
655,1881.25,0.48025,1.13E-08
656,1881.25,0.49,1.11E-08
657,2006,0.1,1.79E-08
658,2006,0.10975,1.77E-08
659,2006,0.1195,1.76E-08
660,2006,0.12925,1.74E-08
661,2006,0.139,1.72E-08
662,2006,0.14875,1.70E-08
663,2006,0.1585,1.68E-08
664,2006,0.16825,1.66E-08
665,2006,0.178,1.64E-08
666,2006,0.18775,1.61E-08
667,2006,0.1975,1.59E-08
668,2006,0.20725,1.57E-08
669,2006,0.217,1.55E-08
670,2006,0.22675,1.52E-08
671,2006,0.2365,1.50E-08
672,2006,0.24625,1.48E-08
673,2006,0.256,1.45E-08
674,2006,0.26575,1.43E-08
675,2006,0.2755,1.40E-08
676,2006,0.28525,1.37E-08
677,2006,0.295,1.35E-08
678,2006,0.30475,1.32E-08
679,2006,0.3145,1.30E-08
680,2006,0.32425,1.27E-08
681,2006,0.334,1.24E-08
682,2006,0.34375,1.21E-08
683,2006,0.3535,1.19E-08
684,2006,0.36325,1.16E-08
685,2006,0.373,1.13E-08
686,2006,0.38275,1.10E-08
687,2006,0.3925,1.08E-08
688,2006,0.40225,1.05E-08
689,2006,0.412,1.02E-08
690,2006,0.42175,9.92E-09
691,2006,0.4315,9.64E-09
692,2006,0.44125,9.36E-09
693,2006,0.451,9.08E-09
694,2006,0.46075,8.81E-09
695,2006,0.4705,8.54E-09
696,2006,0.48025,8.29E-09
697,2006,0.49,8.08E-09
698,2130.75,0.1,1.55E-08
699,2130.75,0.10975,1.54E-08
700,2130.75,0.1195,1.52E-08
701,2130.75,0.12925,1.50E-08
702,2130.75,0.139,1.48E-08
703,2130.75,0.14875,1.45E-08
704,2130.75,0.1585,1.43E-08
705,2130.75,0.16825,1.41E-08
706,2130.75,0.178,1.39E-08
707,2130.75,0.18775,1.37E-08
708,2130.75,0.1975,1.34E-08
709,2130.75,0.20725,1.32E-08
710,2130.75,0.217,1.29E-08
711,2130.75,0.22675,1.27E-08
712,2130.75,0.2365,1.25E-08
713,2130.75,0.24625,1.22E-08
714,2130.75,0.256,1.19E-08
715,2130.75,0.26575,1.17E-08
716,2130.75,0.2755,1.14E-08
717,2130.75,0.28525,1.11E-08
718,2130.75,0.295,1.08E-08
719,2130.75,0.30475,1.06E-08
720,2130.75,0.3145,1.03E-08
721,2130.75,0.32425,1.00E-08
722,2130.75,0.334,9.72E-09
723,2130.75,0.34375,9.43E-09
724,2130.75,0.3535,9.14E-09
725,2130.75,0.36325,8.85E-09
726,2130.75,0.373,8.55E-09
727,2130.75,0.38275,8.26E-09
728,2130.75,0.3925,7.96E-09
729,2130.75,0.40225,7.66E-09
730,2130.75,0.412,7.37E-09
731,2130.75,0.42175,7.08E-09
732,2130.75,0.4315,6.78E-09
733,2130.75,0.44125,6.48E-09
734,2130.75,0.451,6.18E-09
735,2130.75,0.46075,5.90E-09
736,2130.75,0.4705,5.62E-09
737,2130.75,0.48025,5.35E-09
738,2130.75,0.49,5.13E-09
739,2255.5,0.1,1.32E-08
740,2255.5,0.10975,1.30E-08
741,2255.5,0.1195,1.28E-08
742,2255.5,0.12925,1.26E-08
743,2255.5,0.139,1.23E-08
744,2255.5,0.14875,1.21E-08
745,2255.5,0.1585,1.19E-08
746,2255.5,0.16825,1.17E-08
747,2255.5,0.178,1.14E-08
748,2255.5,0.18775,1.12E-08
749,2255.5,0.1975,1.09E-08
750,2255.5,0.20725,1.07E-08
751,2255.5,0.217,1.04E-08
752,2255.5,0.22675,1.02E-08
753,2255.5,0.2365,9.91E-09
754,2255.5,0.24625,9.64E-09
755,2255.5,0.256,9.37E-09
756,2255.5,0.26575,9.08E-09
757,2255.5,0.2755,8.80E-09
